Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1659666781.527	    39.582	0	39	0	0	python agg_clust_single.py 0
2	:	1659666781.619	    39.090	0	39	0	0	python agg_clust_single.py 1
3	:	1659666781.712	    38.893	0	39	0	0	python agg_clust_single.py 2
4	:	1659666781.883	    39.835	0	39	0	0	python agg_clust_single.py 3
5	:	1659666782.290	    39.618	0	39	0	0	python agg_clust_single.py 4
6	:	1659666782.387	    39.758	0	39	0	0	python agg_clust_single.py 5
7	:	1659666782.485	    39.549	0	39	0	0	python agg_clust_single.py 6
8	:	1659666782.601	    36.431	0	39	0	0	python agg_clust_single.py 7
9	:	1659666820.245	    37.834	0	39	0	0	python agg_clust_single.py 8
10	:	1659666820.709	    38.490	0	39	0	0	python agg_clust_single.py 9
11	:	1659666820.811	    38.494	0	40	0	0	python agg_clust_single.py 10
12	:	1659666821.210	    38.203	0	40	0	0	python agg_clust_single.py 11
13	:	1659666821.823	    37.865	0	40	0	0	python agg_clust_single.py 12
14	:	1659666822.010	    37.598	0	40	0	0	python agg_clust_single.py 13
15	:	1659666822.146	    39.320	0	40	0	0	python agg_clust_single.py 14
16	:	1659666822.413	    37.508	0	40	0	0	python agg_clust_single.py 15
17	:	1659666859.197	    37.378	0	40	0	0	python agg_clust_single.py 16
18	:	1659666859.306	    38.934	0	40	0	0	python agg_clust_single.py 17
19	:	1659666859.413	    38.280	0	40	0	0	python agg_clust_single.py 18
20	:	1659666859.607	    38.186	0	40	0	0	python agg_clust_single.py 19
21	:	1659666859.807	    38.087	0	40	0	0	python agg_clust_single.py 20
22	:	1659666860.118	    37.948	0	40	0	0	python agg_clust_single.py 21
23	:	1659666860.583	    38.019	0	40	0	0	python agg_clust_single.py 24
24	:	1659666861.563	    38.857	0	40	0	0	python agg_clust_single.py 25
25	:	1659666897.691	    36.631	0	40	0	0	python agg_clust_single.py 26
26	:	1659666897.794	    36.823	0	40	0	0	python agg_clust_single.py 27
27	:	1659666897.893	    36.911	0	40	0	0	python agg_clust_single.py 28
28	:	1659666898.051	    38.352	0	40	0	0	python agg_clust_single.py 29
29	:	1659666898.240	    36.628	0	40	0	0	python agg_clust_single.py 30
30	:	1659666898.602	    36.471	0	40	0	0	python agg_clust_single.py 31
