Unit,Chan,Solution,Cluster,Split,single_unit,Type,Comments
1,1,7,5,,x,f,
2,4,7,0,,x,f,
3,6,3,0,,x,f,
4,12,2,1,,x,f,
5,14,3,2,,x,f,
6,17,3,0,,,,MU
7,18,7,2,,x,r,
8,19,7,1+5,,x,,
9,20,4,0,,x,f,
10,22,7,1+2,,x,,
11,22,7,5,,x,f,
12,23,3,2,,x,f,
13,24,7,4,7x,,,
14,25,7,4,,x,r,
15,26,3,0,8x,,,
17,27,4,2,,x,f,
18,27,4,3,,,,MU
19,29,5,3,,x,r,
20,30,3,0,,x,r,
21,35,5,2,,,,MU
22,36,3,2,,x,r,
23,38,7,3,,x,r,
25,39,7,0,,x,r,
26,41,7,1,,x,f,
27,43,7,2,,,,MU
28,44,3,2,,x,r,
28,46,3,1,,x,r,
29,49,3,0,,x,f,
30,50,4,1,,x,f,
31,54,3,1,,x,f,
32,55,2,1,,x,f,
33,56,3,0,,x,f,
34,57,2,1,,x,r,
